,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,species
0,5.0,2.0,3.5,1.0,Iris-versicolor
1,6.5,3.0,5.5,1.8,Iris-virginica
2,6.7,3.3,5.7,2.5,Iris-virginica
3,6.0,2.2,5.0,1.5,Iris-virginica
4,6.7,2.5,5.8,1.8,Iris-virginica
5,5.6,2.5,3.9,1.1,Iris-versicolor
6,7.7,3.0,6.1,2.3,Iris-virginica
7,6.3,3.3,4.7,1.6,Iris-versicolor
8,5.5,2.4,3.8,1.1,Iris-versicolor
9,6.3,2.7,4.9,1.8,Iris-virginica
10,6.3,2.8,5.1,1.5,Iris-virginica
11,4.9,2.5,4.5,1.7,Iris-virginica
12,6.3,2.5,5.0,1.9,Iris-virginica
13,7.0,3.2,4.7,1.4,Iris-versicolor
14,6.5,3.0,5.2,2.0,Iris-virginica
15,6.0,3.4,4.5,1.6,Iris-versicolor
16,4.8,3.1,1.6,0.2,Iris-setosa
17,5.8,2.7,5.1,1.9,Iris-virginica
18,5.6,2.7,4.2,1.3,Iris-versicolor
19,5.6,2.9,3.6,1.3,Iris-versicolor
20,5.5,2.5,4.0,1.3,Iris-versicolor
21,6.1,3.0,4.6,1.4,Iris-versicolor
22,7.2,3.2,6.0,1.8,Iris-virginica
23,5.3,3.7,1.5,0.2,Iris-setosa
24,4.3,3.0,1.1,0.1,Iris-setosa
25,6.4,2.7,5.3,1.9,Iris-virginica
26,5.7,3.0,4.2,1.2,Iris-versicolor
27,5.4,3.4,1.7,0.2,Iris-setosa
28,5.7,4.4,1.5,0.4,Iris-setosa
29,6.9,3.1,4.9,1.5,Iris-versicolor
30,4.6,3.1,1.5,0.2,Iris-setosa
31,5.9,3.0,5.1,1.8,Iris-virginica
32,5.1,2.5,3.0,1.1,Iris-versicolor
33,4.6,3.4,1.4,0.3,Iris-setosa
34,6.2,2.2,4.5,1.5,Iris-versicolor
35,7.2,3.6,6.1,2.5,Iris-virginica
36,5.7,2.9,4.2,1.3,Iris-versicolor
37,4.8,3.0,1.4,0.1,Iris-setosa
38,7.1,3.0,5.9,2.1,Iris-virginica
39,6.9,3.2,5.7,2.3,Iris-virginica
40,6.5,3.0,5.8,2.2,Iris-virginica
41,6.4,2.8,5.6,2.1,Iris-virginica
42,5.1,3.8,1.6,0.2,Iris-setosa
43,4.8,3.4,1.6,0.2,Iris-setosa
44,6.5,3.2,5.1,2.0,Iris-virginica
45,6.7,3.3,5.7,2.1,Iris-virginica
46,4.5,2.3,1.3,0.3,Iris-setosa
47,6.2,3.4,5.4,2.3,Iris-virginica
48,4.9,3.0,1.4,0.2,Iris-setosa
49,5.7,2.5,5.0,2.0,Iris-virginica
50,6.9,3.1,5.4,2.1,Iris-virginica
51,4.4,3.2,1.3,0.2,Iris-setosa
52,5.0,3.6,1.4,0.2,Iris-setosa
53,7.2,3.0,5.8,1.6,Iris-virginica
54,5.1,3.5,1.4,0.3,Iris-setosa
55,4.4,3.0,1.3,0.2,Iris-setosa
56,5.4,3.9,1.7,0.4,Iris-setosa
57,5.5,2.3,4.0,1.3,Iris-versicolor
58,6.8,3.2,5.9,2.3,Iris-virginica
59,7.6,3.0,6.6,2.1,Iris-virginica
60,5.1,3.5,1.4,0.2,Iris-setosa
61,4.9,3.1,1.5,0.1,Iris-setosa
62,5.2,3.4,1.4,0.2,Iris-setosa
63,5.7,2.8,4.5,1.3,Iris-versicolor
64,6.6,3.0,4.4,1.4,Iris-versicolor
65,5.0,3.2,1.2,0.2,Iris-setosa
66,5.1,3.3,1.7,0.5,Iris-setosa
67,6.4,2.9,4.3,1.3,Iris-versicolor
68,5.4,3.4,1.5,0.4,Iris-setosa
69,7.7,2.6,6.9,2.3,Iris-virginica
70,4.9,2.4,3.3,1.0,Iris-versicolor
71,7.9,3.8,6.4,2.0,Iris-virginica
72,6.7,3.1,4.4,1.4,Iris-versicolor
73,5.2,4.1,1.5,0.1,Iris-setosa
74,6.0,3.0,4.8,1.8,Iris-virginica
75,5.8,4.0,1.2,0.2,Iris-setosa
76,7.7,2.8,6.7,2.0,Iris-virginica
77,5.1,3.8,1.5,0.3,Iris-setosa
78,4.7,3.2,1.6,0.2,Iris-setosa
79,7.4,2.8,6.1,1.9,Iris-virginica
80,5.0,3.3,1.4,0.2,Iris-setosa
81,6.3,3.4,5.6,2.4,Iris-virginica
82,5.7,2.8,4.1,1.3,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
84,5.7,2.6,3.5,1.0,Iris-versicolor
85,6.4,3.2,5.3,2.3,Iris-virginica
86,6.7,3.0,5.2,2.3,Iris-virginica
87,6.3,2.5,4.9,1.5,Iris-versicolor
88,6.7,3.0,5.0,1.7,Iris-versicolor
89,5.0,3.0,1.6,0.2,Iris-setosa
90,5.5,2.4,3.7,1.0,Iris-versicolor
91,6.7,3.1,5.6,2.4,Iris-virginica
